employee_id,department,role,database_name,days_to_expiry,total_rotations,successful_rotations,failed_rotations,reminders_ignored,avg_response_hours,login_frequency_per_week,password_strength_score,uses_mfa,breach_risk_score,caused_breach
EMP-0001,Data Science,Engineer,PostgreSQL,57,0,0,0,1,69,34,5,1,0,0
EMP-0002,Engineering,Manager,Redis,-1,12,11,1,6,8,16,10,0,0,0
EMP-0003,Finance,Developer,Oracle,-37,10,10,0,8,30,23,9,0,100,1
EMP-0004,Security,Engineer,MariaDB,18,14,9,5,0,51,7,8,0,0,0
EMP-0005,Security,Tech Lead,SQL Server,-20,6,4,2,12,6,33,7,1,100,1
EMP-0006,Operations,Intern,Oracle,-23,0,0,0,12,64,24,4,0,100,1
EMP-0007,QA,Analyst,Redis,112,3,2,1,0,35,34,8,1,0,0
EMP-0008,Security,Senior Developer,SQL Server,-8,15,12,3,12,30,21,3,0,85.0,1
EMP-0009,HR,Intern,MariaDB,54,12,12,0,0,61,10,9,1,0,0
EMP-0010,Finance,Developer,Redis,107,9,5,4,2,46,22,9,1,0,0
EMP-0011,HR,Manager,CockroachDB,39,4,3,1,2,23,14,10,0,0,0
EMP-0012,Data Science,Tech Lead,SQL Server,46,0,0,0,1,7,15,10,0,0,0
EMP-0013,QA,Intern,CockroachDB,75,10,10,0,0,146,16,7,1,0,0
EMP-0014,QA,Tech Lead,Oracle,67,6,4,2,1,23,26,2,1,0,0
EMP-0015,QA,Manager,MySQL,118,13,8,5,0,11,16,2,1,0,0
EMP-0016,QA,Engineer,Redis,21,4,2,2,0,28,22,3,1,0,0
EMP-0017,Engineering,Tech Lead,Oracle,10,7,5,2,2,28,12,4,0,0,0
EMP-0018,QA,Engineer,MongoDB,-14,14,7,7,9,59,13,6,0,100,1
EMP-0019,QA,Developer,MongoDB,90,10,6,4,2,12,30,3,0,10.0,0
EMP-0020,Engineering,Senior Developer,CockroachDB,-5,6,5,1,6,25,37,4,0,40.17,0
EMP-0021,Engineering,Tech Lead,MariaDB,94,5,5,0,0,19,24,10,1,0,0
