employee_id,department,database_criticality,days_since_last_rotation,reminders_ignored,magic_link_clicked,caused_breach
EMP-0001,HR,Medium,265,9,1,0
EMP-0002,Sales,Medium,382,10,1,0
EMP-0003,Finance,Critical,52,1,0,0
EMP-0004,HR,Critical,111,2,1,0
EMP-0005,Finance,Medium,67,0,1,0
EMP-0006,Marketing,Medium,261,10,1,1
EMP-0007,HR,Low,140,3,1,0
EMP-0008,Marketing,Medium,81,0,0,0
EMP-0009,Marketing,High,77,1,1,0
EMP-0010,IT,Low,241,12,1,0
EMP-0011,Engineering,Critical,301,5,1,1
EMP-0012,Sales,Medium,162,4,0,0
EMP-0013,HR,Medium,359,12,1,0
EMP-0014,Finance,Low,195,9,0,0
EMP-0015,HR,High,171,3,0,0
EMP-0016,Marketing,Medium,218,8,0,0
EMP-0017,HR,Medium,135,2,0,0
EMP-0018,Engineering,Critical,163,3,1,1
EMP-0019,Engineering,Medium,186,10,0,1
EMP-0020,Sales,Low,233,4,1,0
EMP-0021,Sales,High,254,5,1,0
EMP-0022,HR,Low,126,3,1,0
EMP-0023,Engineering,High,370,3,1,0
EMP-0024,Marketing,Medium,260,10,1,1
EMP-0025,HR,Critical,389,6,1,1
EMP-0026,Finance,Low,195,9,1,0
EMP-0027,IT,High,175,4,1,0
EMP-0028,Sales,Medium,359,5,1,0
EMP-0029,Engineering,Medium,293,3,1,1
EMP-0030,HR,Critical,154,2,1,0
EMP-0031,Sales,Medium,154,2,1,0
EMP-0032,Finance,High,104,4,0,0
EMP-0033,Sales,Low,189,6,0,0
EMP-0034,Finance,Low,86,1,1,0
EMP-0035,HR,Low,105,4,1,0
EMP-0036,Marketing,High,311,7,1,1
EMP-0037,Engineering,Low,397,3,1,0
EMP-0038,Marketing,Medium,151,1,1,0
EMP-0039,IT,Low,192,4,1,0
EMP-0040,HR,Medium,309,10,0,1
EMP-0041,Marketing,Critical,115,3,1,0
EMP-0042,Marketing,Medium,231,3,1,1
EMP-0043,IT,Critical,380,10,1,1
EMP-0044,Sales,Critical,219,12,1,0
EMP-0045,Sales,Low,135,1,0,0
EMP-0046,Finance,Medium,30,1,1,0
EMP-0047,Finance,Medium,208,7,1,0
EMP-0048,HR,Critical,211,3,1,1
EMP-0049,Finance,High,256,8,1,1
EMP-0050,Engineering,High,92,3,1,0
EMP-0051,Engineering,Medium,279,6,0,1
EMP-0052,Finance,Critical,339,8,0,1
EMP-0053,Finance,Low,215,12,0,0
EMP-0054,Marketing,Critical,246,8,0,1
EMP-0055,Finance,Medium,328,9,0,1
EMP-0056,Sales,High,174,2,1,1
EMP-0057,Marketing,Low,354,9,1,1
EMP-0058,Marketing,Low,397,12,0,1
EMP-0059,Sales,Critical,64,1,0,1
EMP-0060,Finance,Critical,367,3,0,0
EMP-0061,Marketing,Low,43,0,0,0
EMP-0062,Finance,Low,69,0,0,1
