employee_id,department,role,database_name,days_to_expiry,total_rotations,successful_rotations,failed_rotations,reminders_ignored,avg_response_hours,login_frequency_per_week,password_strength_score,uses_mfa,is_privileged,is_production,breach_risk_score,caused_breach
EMP-00001,Engineering,Senior Developer,MySQL,-37,2,0,2,7,61,34,8,1,0,1,100.0,1
EMP-00002,Engineering,DBA,Oracle,56,12,5,6,4,6,2,9,1,1,1,42.98,0
EMP-00003,DevOps,Platform Engineer,SQL Server,112,8,5,2,7,50,39,9,0,0,1,38.63,0
EMP-00004,Data Science,Developer,Oracle,83,16,12,3,7,40,18,10,1,0,0,0.0,0
EMP-00005,DevOps,Platform Engineer,PostgreSQL,21,16,13,3,4,17,7,2,1,0,1,0.0,0
EMP-00006,Compliance,DBA,MariaDB,-8,18,13,5,4,13,28,10,0,1,1,56.74,1
EMP-00007,Infrastructure,Security Engineer,Oracle,-30,9,4,3,0,29,9,3,0,1,0,100.0,1
EMP-00008,Platform,Security Engineer,PostgreSQL,-24,15,9,5,4,51,12,2,1,1,0,100.0,1
EMP-00009,DevOps,Tech Lead,MySQL,4,6,5,1,6,11,50,7,1,1,1,30.1,0
EMP-00010,Finance,DBA,PostgreSQL,21,11,3,6,0,11,48,9,1,1,1,17.2,0
EMP-00011,Engineering,Developer,PostgreSQL,142,19,15,2,2,10,50,3,0,0,0,0.0,0
EMP-00012,Platform,Platform Engineer,MariaDB,-14,12,5,6,3,59,26,5,0,0,0,100.0,1
EMP-00013,Security,Platform Engineer,Oracle,62,17,13,2,5,51,24,10,0,0,1,0.0,0
EMP-00014,Analytics,Tech Lead,MySQL,72,18,14,3,6,13,28,8,0,1,1,0.0,0
EMP-00015,Platform,Developer,Oracle,22,5,5,0,5,26,20,4,1,0,0,0.0,0
EMP-00016,Operations,Developer,PostgreSQL,18,16,12,2,6,29,38,3,1,0,0,0.0,0
EMP-00017,Analytics,Developer,MySQL,3,10,7,2,1,38,18,6,0,0,1,11.54,0
EMP-00018,DevOps,Senior DBA,MySQL,45,4,3,1,3,21,21,3,1,1,1,8.56,0
EMP-00019,DevOps,Senior DBA,PostgreSQL,26,12,6,6,2,31,9,9,1,1,1,19.97,0
EMP-00020,Security,Senior DBA,MongoDB,91,12,8,2,4,25,23,6,0,1,1,5.98,0
EMP-00021,DevOps,Security Engineer,Oracle,41,3,0,2,1,102,24,9,1,1,1,11.93,0
EMP-00022,Data Science,Manager,MongoDB,55,16,16,0,1,104,12,7,1,0,0,0.0,0
EMP-00023,Security,Developer,PostgreSQL,3,2,0,2,1,78,11,4,1,0,1,45.96,0
EMP-00024,Infrastructure,Developer,MySQL,5,20,15,3,6,48,25,2,1,0,1,7.0,0
EMP-00025,Engineering,Analyst,Oracle,113,7,4,1,0,65,34,2,1,0,0,0.0,0
